stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
21.269708,239,-157.803913,239,http://hea.thebus.org/nextbus.asp?s=239,,,DIAMOND HEAD RD + OPP MAKAPUU AVE,0,
21.269314,234,-157.816407,234,http://hea.thebus.org/nextbus.asp?s=234,,,MONSARRAT AVE + PAKI AVE,0,
21.269196,235,-157.813814,235,http://hea.thebus.org/nextbus.asp?s=235,,,MONSARRAT AVE + KANAINA AVE,0,
21.269628,236,-157.81145,236,http://hea.thebus.org/nextbus.asp?s=236,,,MONSARRAT AVE + CAMPBELL AVE,0,
21.269846,237,-157.809543,237,http://hea.thebus.org/nextbus.asp?s=237,,,MONSARRAT AVE + 3251,0,
21.269626,230,-157.802084,230,http://hea.thebus.org/nextbus.asp?s=230,,,DIAMOND HEAD RD + MAKAPUU AVE,0,
21.269966,231,-157.808001,231,http://hea.thebus.org/nextbus.asp?s=231,,,MONSARRAT AVE + TROUSSEAU ST,0,
21.269482,232,-157.811736,232,http://hea.thebus.org/nextbus.asp?s=232,,,MONSARRAT AVE + CAMPBELL AVE,0,
21.286643,233,-157.831572,233,http://hea.thebus.org/nextbus.asp?s=233,,,PAU ST + ALA WAI BL,0,
21.363679,2944,-157.923022,2944,http://hea.thebus.org/nextbus.asp?s=2944,,,HALOA DR + MOLEHU DR,0,
21.333193,993,-157.878877,993,http://hea.thebus.org/nextbus.asp?s=993,,,N KING ST + GULICK AVE,0,
21.581352,2228,-158.131806,2228,http://hea.thebus.org/nextbus.asp?s=2228,,,WAIALUA BEACH RD + OPP KAIMANU PL,0,
21.581133,2229,-158.127521,2229,http://hea.thebus.org/nextbus.asp?s=2229,,,WAIALUA BEACH RD + KOMO ST,0,
21.581458,2226,-158.13713,2226,http://hea.thebus.org/nextbus.asp?s=2226,,,WAIALUA BEACH RD + OPP APUHIHI ST,0,
21.581383,2227,-158.134673,2227,http://hea.thebus.org/nextbus.asp?s=2227,,,WAIALUA BEACH RD + OPP KAIEA PL,0,
21.582411,2224,-158.139907,2224,http://hea.thebus.org/nextbus.asp?s=2224,,,AKULE ST + AWEOWEO ST,0,
21.581679,2225,-158.139935,2225,http://hea.thebus.org/nextbus.asp?s=2225,,,AWEOWEO ST + WAIALUA BEACH RD,0,
21.581697,2222,-158.13751,2222,http://hea.thebus.org/nextbus.asp?s=2222,,,APUHIHI ST + WAIALUA BEACH RD,0,
21.582748,2223,-158.137832,2223,http://hea.thebus.org/nextbus.asp?s=2223,,,AKULE ST + APUHIHI ST,0,
21.581358,2220,-158.1317,2220,http://hea.thebus.org/nextbus.asp?s=2220,,,WAIALUA BEACH RD + KAIMANU PL,0,
21.581402,2221,-158.134841,2221,http://hea.thebus.org/nextbus.asp?s=2221,,,WAIALUA BEACH RD + KAIEA PL,0,
21.287317,147,-157.833974,147,http://hea.thebus.org/nextbus.asp?s=147,,,KALAKAUA AVE + ENA RD,0,
21.292994,144,-157.836815,144,http://hea.thebus.org/nextbus.asp?s=144,,,KALAKAUA AVE + MAKALOA ST,0,
21.290737,145,-157.835803,145,http://hea.thebus.org/nextbus.asp?s=145,,,KALAKAUA AVE + KAPIOLANI BL,0,
21.296615,142,-157.837038,142,http://hea.thebus.org/nextbus.asp?s=142,,,KALAKAUA AVE + S KING ST,0,
21.295435,143,-157.83682,143,http://hea.thebus.org/nextbus.asp?s=143,,,KALAKAUA AVE + OPP PHILIP ST,0,
21.298311,140,-157.839953,140,http://hea.thebus.org/nextbus.asp?s=140,,,S KING ST + KEEAUMOKU ST,0,
21.297897,141,-157.838192,141,http://hea.thebus.org/nextbus.asp?s=141,,,S KING ST + KAHEKA ST,0,
21.293484,999,-157.843164,999,http://hea.thebus.org/nextbus.asp?s=999,,,KAPIOLANI BL + KEEAUMOKU ST,0,
21.283786,148,-157.831267,148,http://hea.thebus.org/nextbus.asp?s=148,,,KUHIO AVE + OPP NAMAHANA ST,0,
21.32237,120,-157.859089,120,http://hea.thebus.org/nextbus.asp?s=120,,,LILIHA ST  + HOLOKAHANA LN,0,
21.304998,2088,-157.835904,2088,http://hea.thebus.org/nextbus.asp?s=2088,,,KEEAUMOKU ST + WILDER AVE,0,
21.305864,2089,-157.835049,2089,http://hea.thebus.org/nextbus.asp?s=2089,,,KEEAUMOKU ST + HEULU ST,0,
21.321111,121,-157.860709,121,http://hea.thebus.org/nextbus.asp?s=121,,,LILIHA ST + SCHOOL ST,0,
21.395392,2082,-157.969534,2082,http://hea.thebus.org/nextbus.asp?s=2082,,,WAIMANO HOME RD + KAMEHAMEHA HWY,0,
21.403654,2083,-157.959299,2083,http://hea.thebus.org/nextbus.asp?s=2083,,,HOOLAULEA ST + HOOPAI ST,0,
21.397861,2080,-157.968466,2080,http://hea.thebus.org/nextbus.asp?s=2080,,,WAIMANO HOME RD + OPP HOOMALU ST,0,
21.396458,2081,-157.969078,2081,http://hea.thebus.org/nextbus.asp?s=2081,,,WAIMANO HOME RD + LUEHU ST,0,
21.300902,2086,-157.838999,2086,http://hea.thebus.org/nextbus.asp?s=2086,,,KEEAUMOKU ST + KINAU ST,0,
21.303529,2087,-157.837307,2087,http://hea.thebus.org/nextbus.asp?s=2087,,,KEEAUMOKU ST + OPP KAIHEE ST,0,
21.296347,2084,-157.840817,2084,http://hea.thebus.org/nextbus.asp?s=2084,,,RYCROFT ST + KEEAUMOKU ST,0,
21.298246,2085,-157.840098,2085,http://hea.thebus.org/nextbus.asp?s=2085,,,KEEAUMOKU ST + S KING ST,0,
21.293854,1191,-157.691791,1191,http://hea.thebus.org/nextbus.asp?s=1191,,,LUNALILO HOME RD + OPP KALANIPUU ST,0,
21.680267,2538,-158.033643,2538,http://hea.thebus.org/nextbus.asp?s=2538,,,KAMEHAMEHA HWY + OPP MAMAO ST,0,
21.679312,2539,-158.034909,2539,http://hea.thebus.org/nextbus.asp?s=2539,,,KAMEHAMEHA HWY + MAIKA PL,0,
21.286076,3343,-157.821595,3343,http://hea.thebus.org/nextbus.asp?s=3343,,,DATE ST + MAHIAI ST,0,
21.694975,2532,-158.016269,2532,http://hea.thebus.org/nextbus.asp?s=2532,,,KAMEHAMEHA HWY + 57-501,0,
21.687203,2533,-158.023484,2533,http://hea.thebus.org/nextbus.asp?s=2533,,,KAMEHAMEHA HWY + OPP CRAWFORDS CONVA,0,
21.695623,2530,-158.007665,2530,http://hea.thebus.org/nextbus.asp?s=2530,,,KAMEHAMEHA HWY + OPP KAWELA CAMP RD,0,
21.695622,2531,-158.014345,2531,http://hea.thebus.org/nextbus.asp?s=2531,,,KAMEHAMEHA HWY + PAHIPAHIALUA ST,0,
21.682679,2536,-158.030319,2536,http://hea.thebus.org/nextbus.asp?s=2536,,,KAMEHAMEHA HWY + 58-261,0,
21.681435,2537,-158.032041,2537,http://hea.thebus.org/nextbus.asp?s=2537,,,KAMEHAMEHA HWY + OPP KAUNALA ST,0,
21.686207,2534,-158.024629,2534,http://hea.thebus.org/nextbus.asp?s=2534,,,KAMEHAMEHA HWY + OPP 58-160,0,
